match_id,home_team,away_team,score,home_goals,away_goals,prob_score_percent,modelo_probabilistico,ranking_score
97,France,Morocco,2-1,2,1,9.944,Poisson + Dixon-Coles,1
97,France,Morocco,1-1,1,1,9.14,Poisson + Dixon-Coles,2
97,France,Morocco,2-0,2,0,8.766,Poisson + Dixon-Coles,3
97,France,Morocco,3-1,3,1,7.79,Poisson + Dixon-Coles,4
97,France,Morocco,3-0,3,0,6.867,Poisson + Dixon-Coles,5
97,France,Morocco,1-0,1,0,6.783,Poisson + Dixon-Coles,6
97,France,Morocco,2-2,2,2,5.64,Poisson + Dixon-Coles,7
97,France,Morocco,1-2,1,2,4.8,Poisson + Dixon-Coles,8
97,France,Morocco,4-1,4,1,4.576,Poisson + Dixon-Coles,9
97,France,Morocco,3-2,3,2,4.418,Poisson + Dixon-Coles,10
98,Spain,Belgium,1-1,1,1,9.758,Poisson + Dixon-Coles,1
98,Spain,Belgium,2-1,2,1,9.527,Poisson + Dixon-Coles,2
98,Spain,Belgium,2-0,2,0,6.77,Poisson + Dixon-Coles,3
98,Spain,Belgium,2-2,2,2,6.704,Poisson + Dixon-Coles,4
98,Spain,Belgium,3-1,3,1,6.698,Poisson + Dixon-Coles,5
98,Spain,Belgium,1-2,1,2,6.357,Poisson + Dixon-Coles,6
98,Spain,Belgium,1-0,1,0,5.697,Poisson + Dixon-Coles,7
98,Spain,Belgium,3-0,3,0,4.76,Poisson + Dixon-Coles,8
98,Spain,Belgium,3-2,3,2,4.713,Poisson + Dixon-Coles,9
98,Spain,Belgium,0-0,0,0,3.767,Poisson + Dixon-Coles,10
99,Norway,England,1-2,1,2,10.046,Poisson + Dixon-Coles,1
99,Norway,England,1-1,1,1,9.669,Poisson + Dixon-Coles,2
99,Norway,England,0-2,0,2,9.036,Poisson + Dixon-Coles,3
99,Norway,England,1-3,1,3,7.515,Poisson + Dixon-Coles,4
99,Norway,England,0-1,0,1,7.336,Poisson + Dixon-Coles,5
99,Norway,England,0-3,0,3,6.759,Poisson + Dixon-Coles,6
99,Norway,England,2-2,2,2,5.584,Poisson + Dixon-Coles,7
99,Norway,England,2-1,2,1,4.977,Poisson + Dixon-Coles,8
99,Norway,England,0-0,0,0,4.304,Poisson + Dixon-Coles,9
99,Norway,England,1-4,1,4,4.216,Poisson + Dixon-Coles,10
100,Argentina,Switzerland,2-0,2,0,11.514,Poisson + Dixon-Coles,1
100,Argentina,Switzerland,2-1,2,1,9.912,Poisson + Dixon-Coles,2
100,Argentina,Switzerland,1-0,1,0,9.124,Poisson + Dixon-Coles,3
100,Argentina,Switzerland,1-1,1,1,9.111,Poisson + Dixon-Coles,4
100,Argentina,Switzerland,3-0,3,0,9.019,Poisson + Dixon-Coles,5
100,Argentina,Switzerland,3-1,3,1,7.764,Poisson + Dixon-Coles,6
100,Argentina,Switzerland,4-0,4,0,5.299,Poisson + Dixon-Coles,7
100,Argentina,Switzerland,0-0,0,0,4.845,Poisson + Dixon-Coles,8
100,Argentina,Switzerland,4-1,4,1,4.562,Poisson + Dixon-Coles,9
100,Argentina,Switzerland,2-2,2,2,4.267,Poisson + Dixon-Coles,10
